obs,time,deployment,conductivity,driver_timestamp,ingestion_timestamp,internal_timestamp,port_timestamp,preferred_timestamp,pressure,profiler_timestamp,salinity,suspect_timestamp,temperature,density,conductivity_qc_executed,conductivity_qc_results,pressure_qc_executed,pressure_qc_results,salinity_qc_executed,salinity_qc_results,density_qc_executed,density_qc_results,temperature_qc_executed,temperature_qc_results,lat,lon
"('0',)",3721937244.67,8,3.69231009483,3742914124.93,3742914125.25,3721937244.67,0.0,internal_timestamp,76.2900009155,1512948444.67,33.4151000977,1,10.3866996765,1025.99884107,29,13,29,29,29,29,29,13,29,29,44.64102,-124.30216
"('1',)",3721937244.73,8,3.69227004051,3742914124.93,3742914125.25,3721937244.73,0.0,internal_timestamp,76.2910003662,1512948444.73,33.4147987366,0,10.3865995407,1025.99862812,29,13,29,29,29,29,29,13,29,29,44.64102,-124.30216
"('2',)",3721937244.8,8,3.69223999977,3742914124.93,3742914125.25,3721937244.8,0.0,internal_timestamp,76.2850036621,1512948444.8,33.4143981934,0,10.3866996765,1025.99827143,29,13,29,29,29,29,29,13,29,29,44.64102,-124.30216
"('3',)",3721937244.86,8,3.69231009483,3742914124.93,3742914125.25,3721937244.86,0.0,internal_timestamp,76.2900009155,1512948444.86,33.4151992798,0,10.3865995407,1025.99893566,29,13,29,29,29,29,29,13,29,29,44.64102,-124.30216
"('4',)",3721937244.92,8,3.69227004051,3742914124.93,3742914125.25,3721937244.92,0.0,internal_timestamp,76.2910003662,1512948444.92,33.4146995544,0,10.3866996765,1025.99853353,29,13,29,29,29,29,29,13,29,29,44.64102,-124.30216
"('5',)",3721937244.98,8,3.69227004051,3742914124.93,3742914125.25,3721937244.98,0.0,internal_timestamp,76.2829971313,1512948444.98,33.4146995544,0,10.3866996765,1025.99849711,29,13,29,29,29,29,29,13,29,29,44.64102,-124.30216
"('6',)",3721937245.04,8,3.69239997864,3742914124.93,3742914125.25,3721937245.04,0.0,internal_timestamp,76.2860031128,1512948445.04,33.4157981873,0,10.3870000839,1025.99931486,29,13,29,29,29,29,29,13,29,29,44.64102,-124.30216
"('7',)",3721937245.11,8,3.69225001335,3742914124.93,3742914125.25,3721937245.11,0.0,internal_timestamp,76.2850036621,1512948445.11,33.4145011902,0,10.3866996765,1025.99835168,29,13,29,13,29,29,29,13,29,29,44.64102,-124.30216
"('8',)",3721937245.17,8,3.69222998619,3742914124.93,3742914125.25,3721937245.17,0.0,internal_timestamp,76.28099823,1512948445.17,33.4141998291,0,10.3867998123,1025.99808134,29,13,29,13,29,29,29,13,29,29,44.64102,-124.30216
"('9',)",3721937245.23,8,3.69223999977,3742914124.93,3742914125.25,3721937245.23,0.0,internal_timestamp,76.2860031128,1512948445.23,33.4143981934,0,10.3867998123,1025.99825867,29,13,29,13,29,29,29,13,29,29,44.64102,-124.30216
"('10',)",3721937245.3,8,3.69227004051,3742914124.93,3742914125.25,3721937245.3,0.0,internal_timestamp,76.2829971313,1512948445.3,33.4145011902,0,10.3868999481,1025.99830793,29,13,29,13,29,29,29,13,29,29,44.64102,-124.30216
